"","cregion","No to Yes, Driverless Cars","No to Yes, Techonlogy making lives better","No to Yes, Computers making art","No to Yes, Robots becoming primary caregivers","No to Yes, Eating lab grown meat"
"1","Midwest",1.36054421768707,1.04081632653061,0.567567567567568,3.07228915662651,4.84033613445378
"2","Northeast",0.787234042553192,0.529032258064516,0.938931297709924,1.83505154639175,4.19469026548673
"3","South",1.17721518987342,0.510204081632653,0.738461538461539,2.70394736842105,3.75686274509804
"4","West",0.765432098765432,0.421487603305785,0.983471074380165,1.72540983606557,3.22155688622754
